NODE_ID,NODE_TYPE,NODE_NAME,TURN_P,REMARK,x,y
1 ,,,,,6.391,3.293
2 ,,,,,6.421,3.293
3 ,,,,,6.453,3.294
4 ,,,,,6.483,3.294
5 ,,,,,6.519,3.293
6 ,,,,,6.551,3.293
7 ,,,,,6.391,3.32
8 ,,,,,6.42,3.321
9 ,,,,,6.452,3.32
10 ,,,,,6.483,3.32
11 ,,,,,6.518,3.321
12 ,,,,,6.55,3.32
13 ,,,,,6.39,3.347
14 ,,,,,6.419,3.348
15 ,,,,,6.452,3.349
16 ,,,,,6.482,3.349
17 ,,,,,6.389,3.372
18 ,,,,,6.419,3.373
19 ,,,,,6.45,3.373
20 ,,,,,6.482,3.372
21 ,,,,,6.518,3.371
22 ,,,,,6.548,3.37
23 ,,,,,6.389,3.396
24 ,,,,,6.42,3.397
25 ,,,,,6.449,3.397
26 ,,,,,6.481,3.396
27 ,,,,,6.517,3.397
28 ,,,,,6.548,3.396
29 ,,,,,6.388,3.42
30 ,,,,,6.419,3.42
31 ,,,,,6.449,3.42
32 ,,,,,6.48,3.42
33 ,,,,,6.516,3.42
34 ,,,,,6.547,3.421
